rid,outage_name,matched_cec_plant,pmax,cec_cap
LUNAVL_2_LVSSR2,Luna Valley Solar 2,"Luna Valley Solar I, LLC",2.0,200.0
SCARLT_2_SSBSR1,Scarlet Solar CA 1B PV,Scarlet Solar 2 BESS,100.0,150.0
CAMLOT_2_SOLAR2,Columbia Two,Columbia Two  LLC,15.0,15.0
ROMOLA_5_MPBBT5,Menifee Power Bank 5,Menifee Power Bank,60.0,680.0
AZALEA_6_AZASR1,Azalea,Azalea (CAISO),60.0,60.0
DOSPAL_1_DPSSR1,Dos Palos Clean Power,Dos Palos Clean Power (CAISO),3.0,3.0
GWFPWR_1_LDCTG1,LEAD UNIT 1,Lead BESS 2,55.3,32.0
ORTGA_6_ME1SL1,Merced 1,Merced 1 (CAISO),3.0,3.0
ALAMIT_7_UNIT 3,ALAMITOS GEN STA. UNIT 3,Alamitos Energy Storage,326.76,100.45
ALMEGT_1_UNIT 2,ALAMEDA GT UNIT 2,Alameda,25.0,49.9
ALTA6B_2_WIND11,Alta Wind 11,Alta XI Wind Energy Center,88.15,89.65
BLACK_7_UNIT 1,JAMES B. BLACK 1,James B Black,85.0,172.0
BRDSLD_2_HIWIND,High Winds Energy Center,High Winds,162.0,162.0
BUTTVL_7_UNIT 1,BUTT VALLEY HYDRO,Butt Valley,39.5,40.0
CAPWD_1_QF,Edom Hills Wind Farm,"Edom Hills Project 1, LLC",19.55,20.0
CHILLS_7_UNITA1,Sycamore Energy 2,Sycamore Cogeneration Co,2.25,300.0
GENESI_2_STG,Genesis Station,Genesis Solar Energy Project,250.0,250.0
GILROY_1_UNIT,GILROY COGEN AGGREGATE,Gilroy Cogen Plant,120.0,123.4
GUERNS_6_VH2BM1,Hanford Digester Genset 2,Hanford Digester Genset 2 (CAISO),1.0,1.02
HARDWK_6_STWBM1,Still Water Ranch Dairy,Still Water Ranch Dairy (CAISO),1.0,1.0
HELMPG_7_UNIT 2,HELMS PUMP-GEN UNIT 2,Helms (Pumped Storage),407.0,1212.0
HUMBPP_1_UNITS3,Humboldt Bay Generating Station 3,Humboldt Bay,65.08,167.0
JAWBNE_2_NSRWND,North Sky River Wind Project,"North Sky River, LLC",160.0,162.0
LAPLMA_2_UNIT 2,La Paloma Generating Plant Unit #2,La Paloma Generating,266.0,1200.0
MONTPH_7_UNITS,MONTICELLO HYDRO AGGREGATE,Monticello,12.5,11.5
MSTANG_2_SOLAR4,Mustang 4,RE Mustang,30.0,30.0
OAK C_7_UNIT 3,OAKLAND STATION C GT UNIT 3,Oakland Power Plant,55.0,223.5
PIT6_7_UNIT 1,PIT PH 6 UNIT 1,Pit #1,39.0,63.0
PLMSSR_6_HISIER,High Sierra Cogeneration Aggregate,High Sierra Cogeneration Power Plant,6.0,6.0
RECTOR_2_KAWEAH,KAWEAH PH 2 & 3 PSP AGGREGATE,Kaweah 3,6.55,4.8
SALTSP_7_UNITS,SALT SPRINGS HYDRO AGGREGATE,Salt Springs,46.0,46.0
SBERDO_2_PSP4,Mountainview Gen Sta. Unit 4,Mountainview Generating Station,555.0,1110.0
SENTNL_2_CTG4,Sentinel Unit 4,Sentinel Energy Center,106.55,800.0
SENTNL_2_CTG7,Sentinel Unit 7,Sentinel Energy Center,106.73,800.0
SYCAMR_2_UNIT 4,Sycamore Cogeneration Unit 4,Sycamore Cogeneration Co,76.0,300.0
VOLTA_2_UNIT 2,Volta Hydro Unit 2,Volta #2,1.0,1.0
WSTWND_2_M89WD2,Mojave 89 Wind,Mojave 3-4-5,75.8,75.0
CATLNA_2_SOLAR,Catalina Solar - Phases 1 and 2,Catalina Solar Phase I and II,110.0,110.0
RCKCRK_7_UNIT 2,ROCK CREEK HYDRO UNIT 2,Rock Creek L.P.,56.9,3.6
OBERON_5_O2SSR4,Oberon 2A Solar,Oberon 1 BESS,125.0,125.0
OBERON_5_O2SSR5,Oberon 2B Solar,Oberon 1 BESS,125.0,125.0
SUNCAT_2_A2ABT2,Arlington Solar Unit 2A BESS,Arlington Solar Unit 2 BESS,132.0,132.0
OLDRV1_6_SOLAR,Old River One,Old River One LLC,20.0,20.0
VISTRA_5_DALBT3,Dallas Energy Storage 3,Dallas Energy Storage,100.0,400.0
STANTN_2_STAGT1,Stanton 1,Stanton Battery Energy Storage,49.65,68.8
CENT40_1_C40SR1,CENTRAL 40,Central 40 (CAISO),40.0,40.0
VALTNE_2_TRSBT1,Tropico Solar,Tropico,70.0,14.0
STANTN_2_STAGT2,Stanton 2,Stanton Battery Energy Storage,49.65,68.8
ALAMIT_2_PL1X3,Alamitos Energy Center Unit 7,Alamitos Energy Center,674.7,693.0
BALCHS_7_UNIT 2,BALCH 2 PH UNIT 2,Balch #1,52.5,34.0
BALCHS_7_UNIT 3,BALCH 2 PH UNIT 3,Balch #1,54.6,34.0
YELPIN_2_YP2BT2,Yellow Pine 2 A BESS,Yellow Pine Solar II LLC (NV),53.0,65.0
YELPIN_2_YP2BT3,Yellow Pine 2 B BESS,Yellow Pine Solar II LLC (NV),32.0,65.0
CHARCA_1_NGLSR1,Nachtigall,Nachtigall (CAISO),4.62,4.63
FMEADO_7_UNIT,FRENCH MEADOWS HYDRO,French Meadows,16.0,15.0
PALSEL_6_PLSSR1,Paulsell Solar Energy Center PV,Paulsell Solar Energy Center BESS,20.0,15.0
SBERDO_2_PSP3,Mountainview Gen Sta. Unit 3,Mountainview Generating Station,555.0,1110.0
DRACKR_2_DS4SR4,Dracker Solar Unit 4A,Dracker Solar Unit 1 BESS,62.5,63.0
DUTCH2_7_UNIT 1,DUTCH FLAT 2 PH,Dutch Flat 2,26.0,27.3
GILRPP_1_PL1X2,GILROY ENERGY CENTER UNITS 1&2 AGGREGATE,Gilroy Cogen Plant,95.2,123.4
ROMOLA_5_MPBBT4,Menifee Power Bank 4,Menifee Power Bank,110.0,680.0
SISPRG_2_DS3BT4,Daggett Solar 3 e BESS,Daggett Solar 1 BESS,15.0,113.5
ELSEGN_2_UN2021,El Segundo Energy Center 7/8,El Segundo Energy Center,271.74,526.0
SLATE_2_SLASR5,Slate 5,Slate,26.0,140.3
ARLNTN_2_ASUSR1,Arlington Solar Unit 1,Arlington Solar Unit 2 BESS,131.0,132.0
YUBACT_1_SUNSWT,YUBA CITY COGEN,City of Yuba,49.97,1.0
ULTPCH_1_UNIT 1,Pacific Ultrapower Chinese Station,Pacific Ultrapower Chinese,18.0,25.0
TOPAZ_2_SOLAR,Topaz Solar Farms,Topaz Solar Farms LLC,550.0,550.0
DSRTSL_2_SOLAR1,Desert Stateline,Desert Stateline Solar Facility,296.19,299.99
ELDORO_7_UNIT 1,El Dorado Unit 1,El Dorado,11.0,20.0
BRDSLD_2_SHILO1,Shiloh I Wind Project,"Shiloh III Wind Project, LLC",150.0,102.5
MTWIND_1_UNIT 3,Mountain View Power Project III,Mountain View III,22.44,22.44
GARLND_2_GASLRA,Garland A,Garland B BESS,20.0,88.0
SUNSLR_1_SSVSR1,Sunshine Valley Solar 1,Sunshine Valley Solar 1 (CAISO) (NV),100.0,100.0
YELPIN_2_YP2SR3,Yellow Pine 2 B PV,Yellow Pine Solar II LLC (NV),65.0,65.0
SISPRG_2_DS3SR3,Daggett Solar 3 cd PV,Daggett Solar 1 BESS,50.0,113.5
RTREE_2_WIND1,Rising Tree 1,Rising Tree Wind Farm I,79.2,79.2
WALCRK_2_CTG1,Walnut Creek Energy Park Unit 1,Walnut Creek Energy Park,100.1,500.5
DIXNLD_1_LNDFL,Zero Waste Energy,Zero Waste to Energy,1.6,1.6
CAMLOT_2_SOLAR1,Camelot,Camelot  LLC,45.0,45.0
GRZZLY_1_BERKLY,Berkeley Cogeneration,PE Berkeley Inc,26.35,26.35
BURNEY_6_HCCTG1,HAT Creek Bioenergy,HAT Creek Bioenergy (CAISO),2.88,2.88
LTBEAR_1_LB3SR3,Little Bear 3 Solar,Little Bear Solar 3,20.0,20.0
CMBLND_2_DS2SR2,Daggett 2 b PV,Daggett Solar 1 BESS,65.0,113.5
HENRTA_6_ACDSR3,Avenal Cutoff Dac Spring Solar,Avenal Cutoff Dac Spring Solar (CAISO),3.0,3.0
PASTSR_2_PSESR1,Pastoria Solar,Pastoria Energy Facility,105.2,778.0
ALTA3A_2_CPCE5,Alta Wind 5,Alta V Wind Energy Center,168.0,168.0
BLACK_7_UNIT 2,JAMES B. BLACK 2,James B Black,84.1,172.0
BUCKCK_7_PL1X2,BUCKS CREEK AGGREGATE,Bucks Creek,57.25,58.0
DRUM_7_PL1X2,Drum PH 1 Units 1 & 2 Aggregate,Drum #2,26.0,49.5
IVSLR2_2_SM2SR1,Silver Ridge Mount Signal 2,Silver Ridge Mount Signal 2 (CAISO),150.0,150.0
LAPLMA_2_UNIT 1,La Paloma Generating Plant Unit #1,La Paloma Generating,267.0,1200.0
MSTANG_2_SOLAR,Mustang,RE Mustang,30.0,30.0
PIOPIC_2_CTG3,Pio Pico Unit 3,Pio Pico Energy Center,112.0,336.0
PIT4_7_PL1X2,PIT PH 4 UNITS 1 & 2 AGGREGATE,Pit #4,95.0,95.0
SENTNL_2_CTG8,Sentinel Unit 8,Sentinel Energy Center,106.85,800.0
SPICER_1_UNITS,SPICER HYDRO UNITS 1-3 AGGREGATE,Spicer,6.0,6.0
TAHOE_2_THOBT1,Tahoe 1,Tahoe,60.04,279.0
TEHAPI_2_PW1WD1,Point Wind 1,Point Wind,47.49,64.5
TEHAPI_2_WIND1,Wind Wall Monolith 1,Wind Wall Monolith I,19.85,19.85
TVYVLY_6_KRSHY1,Kings River Syphon,Kings River Syphon (CAISO),1.3,1.3
VESTAL_2_KERN,KERN RIVER PH 3 UNITS 1 & 2 AGGREGATE,Kern River 3,36.8,36.8
PROXSR_2_PS1BT1,Proxima Solar BESS 1A,Proxima Solar BESS,40.0,162.0
LVNGST_1_WTASR1,West Tambo Clean Power II,West Tambo Clean Power II (CAISO),2.0,2.0
UNVRSY_1_UNIT 1,Berry Cogen 38 - Unit 1,Berry Cogen 21Z,38.0,5.7
PROXSR_2_PS1BT2,Proxima Solar BESS 1B,Proxima Solar BESS,32.0,162.0
VISTRA_5_DALBT2,Dallas Energy Storage 2,Dallas Energy Storage,100.0,400.0
FILIPPI_2_QZSSRX,Quartzite Solar 8,Quartzite Solar 8 BESS,300.0,150.0
ROLLIN_6_UNIT,ROLLINS HYDRO,Rollins,13.5,13.5
DELSUR_6_SOLAR1,Summer Solar North,Summer North Solar 6.5,6.5,6.5
SNCLRA_6_PROCGN,Procter and Gamble Oxnard 2,Procter & Gamble - Oxnard,47.9,1.0
VACADX_1_UNITA1,CalPeak Power Vaca Dixon Unit 1,Vaca Dixon - CalPeak Power,51.91,49.9
CENTPD_2_BMSSX2,Blythe Mesa Solar,Blythe Mesa Solar Project,223.6,223.6
SUNCAT_2_A1BBT1,Arlington Solar Unit 1B BESS,Arlington Solar Unit 1 BESS,63.0,110.0
OGROVE_6_PL1X2,Orange Grove Energy Center,Orange Grove Energy,96.0,100.0
CNTNLA_2_SOLAR1,Centinela Solar Energy I,Centinela Solar Energy,125.0,172.6
FRESHW_1_SOLAR1,Corcoran 3,Corcoran 3 Solar,20.0,20.0
WALNUT_7_WCOVST,MM West Covina - ST Unit,MM West Covina LLC,6.5,6.8
DRUM_7_PL3X4,Drum PH 1 Units 3 & 4 Aggregate,Drum #2,28.9,49.5
CRELMN_6_RAMSR3,Ramona Solar Energy,Ramona Solar Energy Facility,4.32,4.9
MENBIO_6_RENEW1,CalRENEW - 1(A),CalRENEW-1,5.0,5.0
CAVLSR_2_RSOLAR,California Valley Solar Ranch-Phase A,California Valley Solar Ranch,210.0,250.0
LOTUS_6_LSFSR1,Lotus Solar Farm,Lotus Solar Farm (CAISO),50.0,50.0
WALCRK_2_CTG2,Walnut Creek Energy Park Unit 2,Walnut Creek Energy Park,100.1,500.5
CAMPFW_7_FARWST,CAMP FAR WEST HYDRO,Camp Far West,6.8,6.8
ALTWD_2_COAWD1,Coachella 1,Coachella,50.4,92.4
RTREE_2_WIND3,Rising Tree 3,Rising Tree Wind Farm III,99.0,99.0
HENRTA_6_SOLAR1,Lemoore 1,Lemoore PV 1 LLC,1.5,1.5
MELRSE_6_MELBT2,Melrose BESS 2,Melrose BESS,10.0,20.0
LUNAVL_2_LVSSR1,Luna Valley Solar,"Luna Valley Solar I, LLC",113.5,200.0
YELPIN_2_YP2SR1,Yellow Pine 2,Yellow Pine Solar LLC (NV),125.0,125.0
LCKHT1_2_LH1SR2,Lockhart Solar 2,Lockhart Solar 2 (CAISO),75.0,75.0
RVSIDE_6_SPRING,SPRINGS GENERATION PROJECT AGGREGATE,Springs Generation Project,36.0,40.0
WALCRK_2_CTG4,Walnut Creek Energy Park Unit 4,Walnut Creek Energy Park,100.1,500.5
COPMTN_2_SOLAR1,Copper Mountain 48,Copper Mountain I (NV),48.0,58.0
COTTLE_2_FRNKNH,Frankenheimer Power Plant,Frankenheimer,5.3,5.04
RECTOR_2_VISSR1,Visalia CSG,Visalia CSG (CAISO),3.0,3.0
CMBLND_2_DS2SR1,Daggett 2 a PV,Daggett Solar 1 BESS,65.0,113.5
COPMT4_2_SOLAR4,Copper Mountain Solar 4,Copper Mountain Solar 4 (NV),92.0,93.6
ORLND_6_HIGHLI,High Line Canal Hydro,Highline Canal,0.5,0.5
RSMSLR_6_SOLAR2,Rosamond Two,RE Rosamond Two,20.0,20.0
RVSIDE_6_SOLAR1,Tequesquite Landfill Solar Project,Tequesquite Landfill Solar PV Project,7.5,7.5
ALAMIT_7_UNIT 4,ALAMITOS GEN STA. UNIT 4,Alamitos Energy Storage,334.43,100.45
ALTA3A_2_CPCE4,Alta Wind 4,Alta IV Wind Energy Center,102.0,102.0
ALTA4B_2_CPCW3,Alta Wind 3,Alta I Wind Energy Center,150.0,150.0
CARLS2_1_CARCT1,Carlsbad 2,Carlsbad Energy Center,105.5,525.0
COCOPP_2_CTG3,Marsh Landing 3,Marsh Landing Generating Station,208.96,828.0
COWCRK_2_UNIT,Cow Creek Hydro,Cow Creek,2.0,1.44
ESCNDO_6_EB1BT1,Escondido BESS 1,Escondido Energy Storage,10.0,30.0
HARBGN_7_UNITS,HARBOR COGEN COMBINED CYCLE,Harbor Cogeneration Co,109.01,107.45
HENRTA_6_UNITA2,GWF HENRIETTA PEAKER PLANT UNIT 2,Henrietta Peaker,49.42,98.0
HIGHDS_2_H5SSR1,High 5 Solar,High 5 Solar BESS,100.0,50.0
MRCHNT_2_PL1X3,Desert Star Energy Center,Desert Star Energy Center (NV),494.58,536.0
PINFLT_7_UNITS,PINE FLAT HYDRO AGGREGATE,Pine Flat,198.51,165.0
RECTOR_2_KAWH 1,KAWEAH PH 1 UNIT 1,Kaweah 2,2.25,1.8
SENTNL_2_CTG6,Sentinel Unit 6,Sentinel Energy Center,105.0,800.0
STANIS_7_UNIT 1,STANISLAUS HYDRO,Stanislaus,91.0,91.0
TEHAPI_2_WIND2,Wind Wall Monolith 2,Wind Wall Monolith II,23.66,23.66
VALTNE_2_TSASR2,Tropico Solar A,Tropico,70.0,14.0
WESTPT_2_UNIT,West Point Hydro Plant,West Point,14.0,14.0
WNDSTR_2_WIND,Windstar,"Windstar Energy, LLC",120.0,120.0
DVLCYN_1_UNITS,DEVIL CANYON HYDRO UNITS 1-4 AGGREGATE,Devil Canyon,235.0,276.46
MAGNLA_6_COLTON,Magnolia Power Project,Magnolia,12.0,387.6
MOJAVE_1_SIPHON,MOJAVE SIPHON POWER PLANT,Mojave Siphon,14.36,32.79
PEABDY_2_LNDFL1,Potrero Hills Energy Producers,Potrero Hills Energy Producers LLC,8.0,8.0
BRDSLD_2_SHLO3B,Shiloh IV Wind Project,"Shiloh III Wind Project, LLC",100.0,102.5
JOANEC_2_STABT2,Santa Ana Storage 2,Santa Ana 1,20.0,3.2
SKERN_6_SOLAR1,South Kern Solar PV Plant,Kent South  LLC,20.0,20.0
VISTRA_5_PLABT2,Plano Storage 2,Plano Storage,100.4,350.0
ALHMBR_1_ALHSLR,SG Alhambra,Alhambra Solar Facility,50.0,50.0
CLOVER_2_UNIT,Clover Creek,Clover Creek (CAISO),0.99,1.0
VALTNE_2_TBBBT1,Tropico Solar Big Beau,Tropico Solar Big Beau B,58.0,40.0
IVSLRP_2_SOLAR1,Silver Ridge Mount Signal,Silver Ridge Mount Signal 2 (CAISO),200.0,150.0
ROMOLA_5_MPBBT2,Menifee Power Bank 2,Menifee Power Bank,230.0,680.0
CMBLND_2_DS2BT3,Daggett 2 c BESS,Daggett Solar 1 BESS,46.0,113.5
KNTSTH_6_SOLAR,Kent South,Kent South  LLC,20.0,20.0
CARBOU_7_PL2X3,CARIBOU PH 1 UNIT 2 & 3 AGGREGATE,Caribou #1,49.0,73.8
CHILLS_1_SYCENG,Sycamore Energy 1,Sycamore Cogeneration Co,1.5,300.0
WISE_1_UNIT 1,Wise Hydro Unit 1,Wise,14.5,17.1
